Messstelle 3240 9905, Grundwasserstand in m über NHN92
 
11.11.1951;     25,47
25.11.1951;     25,56
09.12.1951;     25,59
27.12.1951;     25,62
06.01.1952;     25,71
27.01.1952;     25,82
10.02.1952;     25,79
24.02.1952;     25,74
09.03.1952;     25,71
23.03.1952;     25,67
12.04.1952;     25,82
27.04.1952;     25,75
11.05.1952;     25,66
25.05.1952;     25,54
08.06.1952;     25,57
29.06.1952;     25,60
13.07.1952;     25,47
27.07.1952;     25,41
08.08.1952;     25,34
24.08.1952;     25,25
07.09.1952;     25,11
28.09.1952;     25,09
05.10.1952;     25,16
26.10.1952;     25,24
09.11.1952;     25,40
16.11.1952;     25,45
30.11.1952;     25,39
14.12.1952;     25,31
28.12.1952;     25,10
11.01.1953;     25,34
25.01.1953;     25,70
08.02.1953;     25,98
22.02.1953;     25,80
08.03.1953;     25,74
22.03.1953;     25,56
06.04.1953;     25,72
18.04.1953;     25,59
09.05.1953;     25,52
23.05.1953;     25,47
12.06.1953;     25,58
26.06.1953;     25,84
10.07.1953;     25,63
24.07.1953;     25,78
08.08.1953;     25,41
23.08.1953;     25,40
06.09.1953;     25,12
20.09.1953;     25,09
04.10.1953;     25,01
25.10.1953;     24,99
15.11.1953;     25,12
29.11.1953;     25,24
12.12.1953;     25,26
27.12.1953;     24,97
10.01.1954;     25,09
24.01.1954;     25,34
07.02.1954;     25,27
21.02.1954;     25,25
07.03.1954;     25,31
21.03.1954;     25,36
11.04.1954;     25,42
25.04.1954;     25,47
09.05.1954;     25,52
30.05.1954;     25,64
13.06.1954;     25,70
27.06.1954;     25,32
11.07.1954;     25,27
25.07.1954;     25,30
08.08.1954;     25,32
29.08.1954;     25,59
12.09.1954;     25,58
26.09.1954;     25,62
10.10.1954;     25,67
31.10.1954;     25,64
07.11.1954;     25,67
28.11.1954;     25,72
05.12.1954;     25,86
24.12.1954;     25,90
08.01.1955;     26,09
22.01.1955;     26,17
05.02.1955;     26,25
19.02.1955;     26,19
05.03.1955;     26,23
20.03.1955;     26,26
02.04.1955;     26,30
16.04.1955;     26,01
01.05.1955;     25,99
19.05.1955;     25,98
04.06.1955;     25,69
28.06.1955;     25,78
17.07.1955;     25,70
30.07.1955;     25,78
